yona_file,yona_line,yona_file_ref,yona_line_range,ticket,gl_ids
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,215,AccessControl.java,"274-279,368-383",P1-82,GL-utils_AccessControl-013
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,1063,IssueApi.java,1176-1210,P1-101,GL-controllers_api_IssueApi-064;GL-controllers_api_IssueApi-065
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,1147,IssueApi.java,551-584,P1-102,GL-controllers_api_IssueApi-030;GL-controllers_api_IssueApi-031
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,1334,IssueApi.java,319-349,P1-102,GL-controllers_api_IssueApi-020
src/test/kotlin/com/github/yonaprojects/yona/web/ProjectApiControllerSpec.kt,453,ProjectApi.java,46-72,P2-46,GL-controllers_api_ProjectApi-002;GL-controllers_api_ProjectApi-003
src/test/kotlin/com/github/yonaprojects/yona/web/OrganizationControllerSpec.kt,24,AccessControl.java,119-203,P0-21,GL-utils_AccessControl-008
src/test/kotlin/com/github/yonaprojects/yona/web/ProjectViewControllerSpec.kt,381,ProjectApp.java,168-186,P2-34,GL-controllers_ProjectApp-016;GL-controllers_ProjectApp-017;GL-controllers_ProjectApp-018
src/test/kotlin/com/github/yonaprojects/yona/web/ProjectViewControllerSpec.kt,465,CodeApp.java,135-164,P2-30,GL-controllers_CodeApp-006
src/test/kotlin/com/github/yonaprojects/yona/web/BoardControllerSpec.kt,211,BoardApp.java,211,P1-113,GL-controllers_BoardApp-009
src/test/kotlin/com/github/yonaprojects/yona/web/BoardControllerSpec.kt,415,BoardApi.java,128-159,P1-107,GL-controllers_api_BoardApi-006
src/test/kotlin/com/github/yonaprojects/yona/web/IssueViewControllerSpec.kt,204,IssueApp.java,"46,166-177",P1-105,GL-controllers_IssueApp-010
src/test/kotlin/com/github/yonaprojects/yona/web/IndexControllerSpec.kt,117,Application.java,45-52,P2-11,GL-controllers_Application-009;GL-controllers_Application-010;GL-controllers_Application-011;GL-controllers_Application-012
src/test/kotlin/com/github/yonaprojects/yona/web/UserControllerSpec.kt,791,UserApi.java,218-241,P1-118,GL-controllers_api_UserApi-014
src/test/kotlin/com/github/yonaprojects/yona/web/UserControllerSpec.kt,900,UserApi.java,244-265,P1-118,GL-controllers_api_UserApi-015
src/test/kotlin/com/github/yonaprojects/yona/web/UserControllerSpec.kt,975,UserApi.java,320-339,P1-118,GL-controllers_api_UserApi-018;GL-controllers_api_UserApi-019
src/test/kotlin/com/github/yonaprojects/yona/web/UserControllerSpec.kt,1002,UserApi.java,341-379,P1-118,GL-controllers_api_UserApi-020;GL-controllers_api_UserApi-021
src/test/kotlin/com/github/yonaprojects/yona/web/MilestoneViewControllerSpec.kt,160,MilestoneApp.java,50-73,P1-128,GL-controllers_MilestoneApp-002;GL-controllers_MilestoneApp-003
